SampID,control_YN,Site,Plant_species,Site_lat,Site_long,Site_elevation,Site_invasion_level,Soil_type,Plant_rep_ID,Plant_rep_group,dist_from_vetch_m,Weighted_NODF,NODF,NODFc,Mean_Seed_Mass,Mean_Total_Seeds,Ratio_250_Log,Ind_Nestedness_Contribution,Pollinator_Richness,Pollinator_Abundance,Native_Pollinator_Abundance,Honeybee_Abundance,Bombus_Abundance,Network_Plant_Richness,Site_Plant_Richness,Mean_Floral_Abundance
L_L_15,no,Long,Goldfield,385128.38,1222352.69,2236,High,Serptentine,15,4,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,5.51902949,26,126,126,0,0,20,47,3687.45833
L_T_0_3,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,3,1,0,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_0_5,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,5,2,0,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_0_6,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,6,3,0,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_0_9,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,9,4,0,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_0_10,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,10,5,0,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_1_1,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,1,1,1,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_1_4,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,4,2,1,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_1_6,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,6,3,1,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_1_10,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,10,4,1,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_1_11,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,11,5,1,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_2,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,2,1,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_7,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,7,2,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_8,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,8,3,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_9,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,9,4,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_13,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,13,5,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_5_15,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,15,6,5,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_10_8,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,8,1,10,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_10_11,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,11,2,10,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_10_13,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,13,3,10,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_10_15,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,15,4,10,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_50_3,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,3,1,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_50_6,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,6,2,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_50_9,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,9,3,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_50_11,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,11,4,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_T_50_13,no,Long,Clover,385128.65,1222353.86,2232,High,Serptentine,13,5,50,13.25361,21.29052,3.161689,0.00329,2.42,1.42,3.407566,15,121,60,61,32,20,47,715.84
L_V_1,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,1,1,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
L_V_6,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,6,2,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
L_V_7,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,7,3,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
L_V_9,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,9,4,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
L_V_11,no,Long,Vetch,385125.92,1222353.73,2212,High,Nonserpentine,11,5,NA,13.25361,21.29052,3.161689,0.00329,2.42,1.42,4.3810426,24,507,247,260,134,20,47,5665.84615
Q_10_0_12,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,12,NA,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_L_1,no,Quarry,Goldfield,385153.43,1222531.63,2231,Medium,Serptentine,1,1,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,0.95786079,9,13,13,0,0,21,36,290
Q_L_3,no,Quarry,Goldfield,385153.43,1222531.63,2231,Medium,Serptentine,3,2,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,0.95786079,9,13,13,0,0,21,36,290
Q_L_6,no,Quarry,Goldfield,385153.43,1222531.63,2231,Medium,Serptentine,6,3,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,0.95786079,9,13,13,0,0,21,36,290
Q_L_13,no,Quarry,Goldfield,385153.43,1222531.63,2231,Medium,Serptentine,13,4,NA,7.77575,18.33997,2.590552,0.00459,1.66,0.635,0.95786079,9,13,13,0,0,21,36,290
Q_T_0_8,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,8,1,0,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_0_11,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,11,2,0,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_1_11,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,11,1,1,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_1_15,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,15,2,1,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
Q_T_5_6,no,Quarry,Clover,385153.9,1222335.95,2212,Medium,Serptentine,6,1,5,7.77575,18.33997,2.590552,0.00459,1.66,0.635,3.512222,20,426,60,366,33,21,36,4700
